Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
31,B_10kB,10240,3.0107216835021973,3401.177882403399,1443,716,727,1
32,B_10kB,10240,3.010406970977783,3401.5334467133653,2126,1393,733,1
33,B_10kB,10240,3.0123724937438965,3399.31400292177,1212,826,386,1
34,B_10kB,10240,2.0082943439483643,5098.854174865556,1556,735,821,1
35,B_10kB,10240,1.0046577453613281,10192.525810187382,10240,0,10240,1
36,B_10kB,10240,1.00527024269104,10186.315644426335,848,451,397,1
37,B_10kB,10240,2.005598545074463,5105.707732561112,1588,652,936,1
38,B_10kB,10240,1.0056796073913574,10182.1692761193,10240,0,10240,1
39,B_10kB,10240,1.0036075115203857,10203.191867792233,786,652,134,1
40,B_10kB,10240,1.0029926300048828,10209.446902865227,1592,779,813,1
41,B_10kB,10240,1.004556655883789,10193.551493609935,10240,0,10240,1
42,B_10kB,10240,1.0038948059082031,10200.271920658142,1025,477,548,1
43,B_10kB,10240,1.011932611465454,10119.25091056281,1841,537,1304,1
44,B_10kB,10240,1.0056142807006836,10182.830729954489,1045,663,382,1
45,B_10kB,10240,1.0026955604553223,10212.471665228111,1627,1092,535,1
46,B_10kB,10240,1.003037691116333,10208.98824709505,1815,826,989,1
47,B_10kB,10240,1.0066075325012207,10172.78300566222,655,587,68,1
48,B_10kB,10240,1.003687858581543,10202.375083496208,1374,393,981,1
49,B_10kB,10240,1.005053997039795,10188.507314194134,1625,1312,313,1
50,B_10kB,10240,1.0034761428833008,10204.527603991937,473,375,98,1
51,B_10kB,10240,1.0036306381225586,10202.956756237985,1245,700,545,1
52,B_10kB,10240,0.08855652809143066,115632.35619882993,1158,901,257,1
53,B_10kB,10240,2.0081474781036377,5099.227079512099,2226,1573,653,1
54,B_10kB,10240,1.0030715465545654,10208.643675691144,1911,1133,778,1
55,B_10kB,10240,1.0031487941741943,10207.85755759165,1396,1011,385,1
56,B_10kB,10240,1.0034806728363037,10204.481538301072,2076,1052,1024,1
57,B_10kB,10240,1.0024330615997314,10215.145920724632,1288,448,840,1
58,B_10kB,10240,1.0080585479736328,10158.140140356056,1182,843,339,1
59,B_10kB,10240,1.005007266998291,10188.981051434937,1361,855,506,1
60,B_10kB,10240,1.0040006637573242,10199.196444430936,2021,755,1266,1
61,B_10kB,10240,1.0052204132080078,10186.82058725867,809,704,105,1
62,B_10kB,10240,1.004702091217041,10192.075929289473,835,533,302,1
63,B_10kB,10240,1.0038909912109375,10200.310680792205,2287,1101,1186,1
64,B_10kB,10240,1.0034770965576172,10204.517905917193,1409,807,602,1
65,B_10kB,10240,1.0031628608703613,10207.714419486781,1398,1018,380,1
66,B_10kB,10240,1.0029923915863037,10209.449329724937,1857,771,1086,1
