Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
1,B_100kB,102400,4.546027421951294,67575.48327065312,102400,102400,0,1,0.3333333333333333
2,B_100kB,102400,5.01758074760437,61224.724713532865,887,665,222,1,0.0028873697916666666
3,B_100kB,102400,5.012533664703369,61286.37143391224,1019,663,356,1,0.0033170572916666665
4,B_100kB,102400,5.019501209259033,61201.30012785635,102400,102400,0,1,0.3333333333333333
5,B_100kB,102400,5.104923963546753,60177.194056885884,102400,102400,0,1,0.3333333333333333
6,B_100kB,102400,5.012848377227783,61282.52380334082,1183,661,522,1,0.0038509114583333334
7,B_100kB,102400,5.018721580505371,61210.8073883361,926,372,554,1,0.0030143229166666665
8,B_100kB,102400,5.013734817504883,61271.68890692948,956,523,433,1,0.0031119791666666665
9,B_100kB,102400,5.0174455642700195,61226.37427052864,102400,102400,0,1,0.3333333333333333
10,B_100kB,102400,5.254886150360107,58459.87738077792,2913,2213,700,1,0.009482421875
11,B_100kB,102400,5.017402410507202,61226.90086740433,5022,3317,1705,1,0.01634765625
12,B_100kB,102400,5.021579742431641,61175.967674913794,4986,2955,2031,1,0.01623046875
13,B_100kB,102400,5.0211262702941895,61181.492649855434,4872,2993,1879,1,0.015859375
14,B_100kB,102400,5.018938302993774,61208.1642479559,3167,2049,1118,1,0.010309244791666667
15,B_100kB,102400,2.514282464981079,122181.97608211526,2366,2021,345,1,0.007701822916666667
16,B_100kB,102400,5.174880027770996,59363.69507146273,1710,879,831,1,0.00556640625
17,B_100kB,102400,5.0215771198272705,61175.9996251072,102400,102400,0,1,0.3333333333333333
18,B_100kB,102400,5.055420160293579,60766.462580661195,636,323,313,1,0.0020703125
19,B_100kB,102400,5.0282063484191895,61095.34468420934,1831,1527,304,1,0.0059602864583333335
20,B_100kB,102400,5.014647960662842,61260.53162850418,465,397,68,1,0.001513671875
21,B_100kB,102400,5.146871089935303,59686.748440373616,3753,2543,1210,1,0.012216796875
22,B_100kB,102400,5.0201575756073,61193.298292601365,4133,2683,1450,1,0.013453776041666667
23,B_100kB,102400,5.0235841274261475,61151.55876913623,4136,2805,1331,1,0.013463541666666667
24,B_100kB,102400,5.034066915512085,61024.21862001618,4405,2680,1725,1,0.014339192708333334
25,B_100kB,102400,5.033131122589111,61035.56464508958,3546,2389,1157,1,0.01154296875
26,B_100kB,102400,5.080770969390869,60463.26469953635,2636,1637,999,1,0.008580729166666667
27,B_100kB,102400,5.01751446723938,61225.53347993044,4310,3086,1224,1,0.014029947916666667
28,B_100kB,102400,5.0361926555633545,60998.46074407895,4753,3345,1408,1,0.015472005208333334
29,B_100kB,102400,5.018773317337036,61210.176386886604,5267,3714,1553,1,0.01714518229166667
30,B_100kB,102400,5.0226171016693115,61163.33253791123,4609,3287,1322,1,0.015003255208333333
31,B_100kB,102400,5.113781690597534,60072.95942351899,4582,3297,1285,1,0.014915364583333333
32,B_100kB,102400,5.02194881439209,61171.47174411947,4801,3424,1377,1,0.015628255208333334
33,B_100kB,102400,5.01582670211792,61246.13513267625,3676,2521,1155,1,0.011966145833333334
