Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
30,A_10kB,10240,5.016026020050049,6124.37014425485,3761,2674,1087,1,0.12242838541666666
31,A_10kB,10240,5.119924068450928,6000.0889836037295,5968,3932,2036,1,0.19427083333333334
32,A_10kB,10240,5.010969400405884,6130.550307793081,5868,3181,2687,1,0.191015625
33,A_10kB,10240,5.013900518417358,6126.966398148002,7379,4118,3261,1,0.24020182291666667
34,A_10kB,10240,5.016050815582275,6124.339870036573,4724,3077,1647,1,0.15377604166666667
35,A_10kB,10240,5.015209436416626,6125.367323034366,7087,3219,3868,1,0.23069661458333332
36,A_10kB,10240,5.155769109725952,5958.373881027593,9043,4745,4298,1,0.29436848958333334
37,A_10kB,10240,5.025933504104614,6112.297342356674,4840,2580,2260,1,0.15755208333333334
38,A_10kB,10240,5.020242929458618,6119.22578880318,6852,3400,3452,1,0.223046875
39,A_10kB,10240,5.01798939704895,6121.973876243392,7331,3038,4293,1,0.23863932291666667
40,A_10kB,10240,5.011806011199951,6129.526947242091,7017,4143,2874,1,0.22841796875
41,A_10kB,10240,5.034059524536133,6102.430821540736,1651,1035,616,1,0.05374348958333333
42,A_10kB,10240,5.016205787658691,6124.150662953269,2633,1623,1010,1,0.08570963541666667
43,A_10kB,10240,5.048779249191284,6084.639173899462,1863,1221,642,1,0.06064453125
44,A_10kB,10240,5.016254901885986,6124.090701301891,3594,2325,1269,1,0.1169921875
45,A_10kB,10240,5.029263496398926,6108.2502481717775,3822,2434,1388,1,0.1244140625
46,A_10kB,10240,5.024327754974365,6114.250800932619,2686,1793,893,1,0.08743489583333333
47,A_10kB,10240,5.171935081481934,5939.7497292633625,745,558,187,1,0.024251302083333332
48,A_10kB,10240,5.020962715148926,6118.348560389343,865,436,429,1,0.028157552083333332
49,A_10kB,10240,5.016268253326416,6124.074401250129,845,545,300,1,0.027506510416666668
50,A_10kB,10240,5.024155616760254,6114.460288116891,472,347,125,1,0.015364583333333333
51,A_10kB,10240,5.016665935516357,6123.588932344972,836,375,461,1,0.027213541666666667
52,A_10kB,10240,3.663616895675659,8385.156219871207,10240,10240,0,1,0.3333333333333333
53,A_10kB,10240,5.02849006652832,6109.189755486412,6076,3170,2906,1,0.19778645833333333
54,A_10kB,10240,5.026602029800415,6111.484421856998,4777,2816,1961,1,0.15550130208333332
55,A_10kB,10240,5.0270843505859375,6110.898058915482,5885,3430,2455,1,0.19156901041666666
