Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
48,B_10kB,10240,5.023096561431885,6115.749443455443,3004,1926,1078,1,0.09778645833333334
49,B_10kB,10240,5.017024993896484,6123.150679411154,3690,2586,1104,1,0.1201171875
50,B_10kB,10240,5.016376495361328,6123.942257605058,2534,1690,844,1,0.08248697916666667
51,B_10kB,10240,5.014831781387329,6125.828609848496,3196,2637,559,1,0.10403645833333333
52,B_10kB,10240,5.01650071144104,6123.790619612087,2625,1903,722,1,0.08544921875
53,B_10kB,10240,5.160896062850952,5952.454695053447,2166,1745,421,1,0.0705078125
54,B_10kB,10240,5.014543056488037,6126.181319802033,1171,754,417,1,0.03811848958333333
55,B_10kB,10240,5.031193494796753,6105.907083830217,4642,2166,2476,1,0.15110677083333332
56,B_10kB,10240,5.053772926330566,6078.626888823262,2808,1946,862,1,0.09140625
57,B_10kB,10240,5.062595844268799,6068.033266921182,2336,1496,840,1,0.07604166666666666
58,B_10kB,10240,5.173735618591309,5937.682607826096,1789,1115,674,1,0.05823567708333333
59,B_10kB,10240,4.014450550079346,7652.354815877062,1880,1133,747,1,0.061197916666666664
60,B_10kB,10240,5.082281112670898,6044.529871323012,4435,2846,1589,1,0.14436848958333334
61,B_10kB,10240,5.03347110748291,6103.144200893638,3256,2398,858,1,0.10598958333333333
62,B_10kB,10240,5.021295785903931,6117.942720331063,3167,2162,1005,1,0.10309244791666666
63,B_10kB,10240,5.186901807785034,5922.610671729369,3142,2660,482,1,0.10227864583333333
64,B_10kB,10240,5.025349855422974,6113.007230103457,2049,1334,715,1,0.06669921875
65,B_10kB,10240,5.034333229064941,6102.099047127602,5969,3199,2770,1,0.19430338541666667
66,B_10kB,10240,5.041654586791992,6093.237739943456,5136,2245,2891,1,0.1671875
67,B_10kB,10240,5.032347679138184,6104.506675353751,5603,3094,2509,1,0.18238932291666668
68,B_10kB,10240,5.023258209228516,6115.552639432814,5637,3665,1972,1,0.18349609375
69,B_10kB,10240,5.02975606918335,6107.652056571367,4739,3214,1525,1,0.15426432291666667
70,B_10kB,10240,5.04325270652771,6091.306898073482,3563,1868,1695,1,0.11598307291666667
71,B_10kB,10240,5.180478572845459,5929.954070464682,4167,1922,2245,1,0.13564453125
72,B_10kB,10240,5.024073600769043,6114.560104234469,3091,1900,1191,1,0.10061848958333333
73,B_10kB,10240,5.017893552780151,6122.090808996867,8452,4970,3482,1,0.27513020833333335
74,B_10kB,10240,5.012739419937134,6128.385584500475,1629,1091,538,1,0.05302734375
75,B_10kB,10240,5.048413038253784,6085.0805524870175,2201,1271,930,1,0.07164713541666666
76,B_10kB,10240,5.171562671661377,5940.17745706466,6031,3165,2866,1,0.19632161458333333
77,B_10kB,10240,5.039230585098267,6096.168746642291,5803,3675,2128,1,0.18889973958333334
78,B_10kB,10240,5.04409122467041,6090.294293201903,5519,3577,1942,1,0.17965494791666667
79,B_10kB,10240,5.019969463348389,6119.559137618606,7816,4420,3396,1,0.25442708333333336
