Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
1,B_100kB,102400,5.519791126251221,18551.426613409774,102400,0,102400,1
2,B_100kB,102400,6.015950918197632,17021.415465716407,102400,0,102400,1
3,B_100kB,102400,5.011957883834839,20431.13736655143,102400,0,102400,1
4,B_100kB,102400,4.098435401916504,24985.144319248237,102400,0,102400,1
5,B_100kB,102400,3.013015031814575,33985.89084978114,102400,0,102400,1
6,B_100kB,102400,3.01297926902771,33986.29424790053,102400,0,102400,1
7,B_100kB,102400,3.014265537261963,33971.79138139768,1880,1182,698,1
8,B_100kB,102400,3.009714365005493,34023.16219460018,1222,694,528,1
9,B_100kB,102400,3.009108543395996,34030.012052816885,102400,0,102400,1
10,B_100kB,102400,3.0134389400482178,33981.109966794786,102873,473,102400,1
11,B_100kB,102400,3.008090019226074,34041.53444395445,102400,0,102400,1
12,B_100kB,102400,4.013976335525513,25510.862905123162,102400,0,102400,1
13,B_100kB,102400,3.0173211097717285,33937.38892038141,1413,610,803,1
14,B_100kB,102400,3.016098976135254,33951.14046662107,1323,830,493,1
15,B_100kB,102400,3.0100061893463135,34019.863601090576,102400,0,102400,1
16,B_100kB,102400,3.007887363433838,34043.82798533354,1887,1208,679,1
17,B_100kB,102400,3.015015125274658,33963.345371500145,1271,716,555,1
18,B_100kB,102400,3.027787923812866,33820.07015572233,102400,0,102400,1
19,B_100kB,102400,3.021043539047241,33895.57239956042,534,394,140,1
20,B_100kB,102400,3.5309648513793945,29000.571886179147,1278,725,553,1
21,B_100kB,102400,3.0378646850585938,33707.88715627896,1332,998,334,1
22,B_100kB,102400,3.032512903213501,33767.37486969586,102400,0,102400,1
23,B_100kB,102400,3.0080184936523438,34042.34389385873,1394,531,863,1
24,B_100kB,102400,3.0086748600006104,34034.91728580443,984,455,529,1
25,B_100kB,102400,3.010463237762451,34014.69870667132,102400,0,102400,1
26,B_100kB,102400,3.007650136947632,34046.513170551974,1343,477,866,1
27,B_100kB,102400,3.1348302364349365,32665.24573160098,1503,922,581,1
28,B_100kB,102400,3.012699842453003,33989.4464616242,102400,0,102400,1
29,B_100kB,102400,3.009749174118042,34022.76870131766,1677,738,939,1
30,B_100kB,102400,3.013241767883301,33983.33352850492,102400,0,102400,1
31,B_100kB,102400,3.0109739303588867,34008.92945884611,102400,0,102400,1
32,B_100kB,102400,3.009269952774048,34028.1867718794,2161,1014,1147,1
33,B_100kB,102400,3.0111804008483887,34006.59753601916,581,462,119,1
