Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
185,A_10kB,10240,1.0027985572814941,10211.422748512734,1060,526,534,1
186,A_10kB,10240,2.0083060264587402,5098.824514337719,2295,1135,1160,1
187,A_10kB,10240,1.0039308071136475,10199.906136400501,879,720,159,1
188,A_10kB,10240,1.0030457973480225,10208.905741964913,847,340,507,1
189,A_10kB,10240,1.003406047821045,10205.240462957903,1891,876,1015,1
190,A_10kB,10240,1.0020427703857422,10219.124674746221,819,492,327,1
191,A_10kB,10240,1.0112764835357666,10125.816398100624,1429,887,542,1
192,A_10kB,10240,1.0028455257415771,10210.944494594814,1943,1011,932,1
193,A_10kB,10240,1.0031003952026367,10208.350080383942,1042,647,395,1
194,A_10kB,10240,1.0090503692626953,10148.155445879558,1120,973,147,1
195,A_10kB,10240,1.0087056159973145,10151.623860917676,1431,632,799,1
196,A_10kB,10240,1.0023057460784912,10216.443475520193,1213,1074,139,1
197,A_10kB,10240,1.002565622329712,10213.795258812885,1470,872,598,1
198,A_10kB,10240,1.003220796585083,10207.124926891951,1639,784,855,1
199,A_10kB,10240,1.0024964809417725,10214.49969617875,1334,952,382,1
200,A_10kB,10240,1.0081923007965088,10156.792500706488,1142,701,441,1
201,A_10kB,10240,1.0738801956176758,9535.514335572734,2158,1057,1101,1
202,A_10kB,10240,1.0047426223754883,10191.66478255876,1125,780,345,1
203,A_10kB,10240,1.0026767253875732,10212.663504323235,1131,663,468,1
204,A_10kB,10240,1.0059683322906494,10179.246872198168,1847,1098,749,1
205,A_10kB,10240,1.0054645538330078,10184.347087088569,736,356,380,1
206,A_10kB,10240,1.0074186325073242,10164.592622745195,869,560,309,1
207,A_10kB,10240,1.003549575805664,10203.780906169164,2225,1306,919,1
208,A_10kB,10240,1.0076982975006104,10161.77165863853,1079,704,375,1
209,A_10kB,10240,1.0111265182495117,10127.31820912753,1357,1028,329,1
210,A_10kB,10240,1.009702444076538,10141.601676883512,1743,821,922,1
211,A_10kB,10240,1.0062110424041748,10176.791516353482,1398,910,488,1
212,A_10kB,10240,1.0031909942626953,10207.428155319501,755,583,172,1
213,A_10kB,10240,1.0039241313934326,10199.973961963664,1954,998,956,1
214,A_10kB,10240,1.0081803798675537,10156.912596677636,1739,1136,603,1
215,A_10kB,10240,1.0068426132202148,10170.40783290757,1263,683,580,1
216,A_10kB,10240,1.0025126934051514,10214.334509041122,1716,587,1129,1
217,A_10kB,10240,1.5183002948760986,6744.3838577635515,10240,0,10240,1
218,A_10kB,10240,1.0110723972320557,10127.860307563884,947,458,489,1
219,A_10kB,10240,1.0053706169128418,10185.298662739546,1978,917,1061,1
220,A_10kB,10240,1.0035080909729004,10204.202728522425,952,609,343,1
221,A_10kB,10240,1.0106394290924072,10132.199185218718,752,648,104,1
222,A_10kB,10240,1.010528564453125,10133.310784284118,1234,599,635,1
223,A_10kB,10240,1.008424997329712,10154.448796008928,1073,866,207,1
224,A_10kB,10240,1.003171682357788,10207.624656960596,1125,764,361,1
225,A_10kB,10240,1.004194736480713,10197.225326919122,1347,415,932,1
226,A_10kB,10240,1.0085546970367432,10153.14293819301,825,559,266,1
227,A_10kB,10240,1.0087666511535645,10151.009639632868,990,653,337,1
228,A_10kB,10240,1.0088779926300049,10149.889357092368,1337,534,803,1
229,A_10kB,10240,1.0119976997375488,10118.600074541315,955,773,182,1
230,A_10kB,10240,1.0033917427062988,10205.385956616681,1202,681,521,1
231,A_10kB,10240,1.0109546184539795,10129.040228986445,1346,718,628,1
232,A_10kB,10240,0.12842106819152832,79737.69525673134,766,430,336,1
233,A_10kB,10240,2.007030725479126,5102.064392938214,790,545,245,1
234,A_10kB,10240,1.0033392906188965,10205.919468860422,1591,907,684,1
235,A_10kB,10240,1.0156970024108887,10081.746796233552,1259,773,486,1
236,A_10kB,10240,1.0149731636047363,10088.936700190223,1043,489,554,1
237,A_10kB,10240,1.0037527084350586,10201.715934560303,1953,640,1313,1
238,A_10kB,10240,1.004030466079712,10198.893704871927,1522,914,608,1
239,A_10kB,10240,1.0035014152526855,10204.270611239275,1814,742,1072,1
240,A_10kB,10240,1.0043418407440186,10195.731756444784,1738,793,945,1
241,A_10kB,10240,1.0073645114898682,10165.138719107032,1019,466,553,1
242,A_10kB,10240,1.0037510395050049,10201.73289688428,1254,735,519,1
243,A_10kB,10240,1.0034782886505127,10204.505783349683,1980,994,986,1
244,A_10kB,10240,1.0032923221588135,10206.397252165045,885,698,187,1
245,A_10kB,10240,1.0075466632843018,10163.300989574669,808,533,275,1
246,A_10kB,10240,1.0079069137573242,10159.668378329534,1996,924,1072,1
247,A_10kB,10240,1.0079669952392578,10159.062795076306,419,328,91,1
248,A_10kB,10240,0.6350126266479492,16125.663601453161,10240,0,10240,1
249,A_10kB,10240,1.007798671722412,10160.759571650342,10240,0,10240,1
250,A_10kB,10240,1.0065228939056396,10173.638435848621,10240,0,10240,1
251,A_10kB,10240,1.0054256916046143,10184.740737684373,10240,0,10240,1
252,A_10kB,10240,1.0055854320526123,10183.12285918661,10240,0,10240,1
253,A_10kB,10240,1.0066068172454834,10172.790234047014,10240,0,10240,1
254,A_10kB,10240,1.004612684249878,10192.982987912383,10240,0,10240,1
255,A_10kB,10240,1.0058465003967285,10180.479820689452,10240,0,10240,1
256,A_10kB,10240,1.0042831897735596,10196.32719562782,10240,0,10240,1
257,A_10kB,10240,1.0061769485473633,10177.136352391775,10240,0,10240,1
258,A_10kB,10240,1.008112907409668,10157.59239340714,1821,645,1176,1
259,A_10kB,10240,1.0071487426757812,10167.316470846685,1441,1074,367,1
260,A_10kB,10240,1.0058362483978271,10180.583585360991,824,718,106,1
261,A_10kB,10240,1.0083394050598145,10155.310750146242,1484,835,649,1
262,A_10kB,10240,1.0059528350830078,10179.403688598411,1253,741,512,1
263,A_10kB,10240,1.0025534629821777,10213.919135584329,1433,977,456,1
264,A_10kB,10240,2.0084316730499268,5098.505534146418,2043,945,1098,1
265,A_10kB,10240,1.0036935806274414,10202.31691986975,1084,846,238,1
266,A_10kB,10240,1.0039863586425781,10199.341765803281,1132,1016,116,1
267,A_10kB,10240,1.0030627250671387,10208.733456140142,1762,1180,582,1
268,A_10kB,10240,1.0027282238006592,10212.138999326398,1583,1047,536,1
269,A_10kB,10240,1.0044198036193848,10194.94036567239,1038,804,234,1
270,A_10kB,10240,1.0029234886169434,10210.150740532777,1889,593,1296,1
271,A_10kB,10240,1.00388765335083,10200.344596151152,912,813,99,1
272,A_10kB,10240,1.0034022331237793,10205.27926086128,732,296,436,1
273,A_10kB,10240,1.0035293102264404,10203.98696445588,1996,838,1158,1
274,A_10kB,10240,1.006497859954834,10173.891477980404,1029,636,393,1
275,A_10kB,10240,1.0024235248565674,10215.243104420559,1008,810,198,1
276,A_10kB,10240,1.0033459663391113,10205.851564204206,1997,1174,823,1
277,A_10kB,10240,1.0075817108154297,10162.947471240652,1254,1032,222,1
278,A_10kB,10240,1.002572774887085,10213.72239152742,816,686,130,1
279,A_10kB,10240,0.1261303424835205,81185.85741046332,2645,1358,1287,1
280,A_10kB,10240,2.012380361557007,5088.5012573255135,1080,528,552,1
281,A_10kB,10240,1.003199815750122,10207.338397827805,1302,1079,223,1
282,A_10kB,10240,1.0115711688995361,10122.866600814503,1773,1016,757,1
283,A_10kB,10240,1.0076873302459717,10161.882255183724,1083,585,498,1
284,A_10kB,10240,1.0091228485107422,10147.426564676574,996,592,404,1
285,A_10kB,10240,1.0026798248291016,10212.631935369121,2205,1231,974,1
286,A_10kB,10240,1.0054607391357422,10184.38572629095,914,415,499,1
287,A_10kB,10240,1.003549337387085,10203.783330335924,1365,992,373,1
288,A_10kB,10240,1.0043096542358398,10196.058513239546,1401,697,704,1
289,A_10kB,10240,0.5017111301422119,20410.151150319176,10240,0,10240,1
290,A_10kB,10240,1.00238037109375,10215.682883760579,10240,0,10240,1
291,A_10kB,10240,1.007124423980713,10167.56197762125,10240,0,10240,1
292,A_10kB,10240,1.0031309127807617,10208.03951860468,10240,0,10240,1
293,A_10kB,10240,1.0027167797088623,10212.255551336413,10240,0,10240,1
294,A_10kB,10240,1.0023810863494873,10215.67559429164,10240,0,10240,1
295,A_10kB,10240,1.136864185333252,9007.232466381482,10240,0,10240,1
296,A_10kB,10240,1.0023727416992188,10215.760638743217,1743,1186,557,1
297,A_10kB,10240,1.0093400478363037,10145.242945577384,1948,906,1042,1
298,A_10kB,10240,1.0237600803375244,10002.343514531221,806,521,285,1
299,A_10kB,10240,1.0175199508666992,10063.684737854832,1104,700,404,1
300,A_10kB,10240,1.0067880153656006,10170.959371503335,1813,1046,767,1
301,A_10kB,10240,1.0065085887908936,10173.783029811188,1301,745,556,1
302,A_10kB,10240,1.0064384937286377,10174.491599643618,1170,831,339,1
303,A_10kB,10240,1.003331184387207,10206.001925729206,1693,1176,517,1
304,A_10kB,10240,1.0026850700378418,10212.578511429852,936,550,386,1
305,A_10kB,10240,1.0023632049560547,10215.857834136019,1028,526,502,1
306,A_10kB,10240,1.004659652709961,10192.50645965398,1795,801,994,1
307,A_10kB,10240,1.0041136741638184,10198.048551153754,1067,930,137,1
308,A_10kB,10240,1.0039777755737305,10199.428960614468,843,467,376,1
309,A_10kB,10240,1.0038084983825684,10201.148940758781,2012,1098,914,1
310,A_10kB,10240,1.002610445022583,10213.338640980697,896,634,262,1
311,A_10kB,10240,2.008273124694824,5098.908048951789,2606,1478,1128,1
312,A_10kB,10240,1.0053801536560059,10185.202047964485,2090,925,1165,1
313,A_10kB,10240,1.0044939517974854,10194.18781136123,1570,962,608,1
314,A_10kB,10240,1.004420280456543,10194.935525739857,2237,1089,1148,1
315,A_10kB,10240,1.0055019855499268,10183.967955468097,1412,639,773,1
316,A_10kB,10240,1.0082314014434814,10156.39860585519,2043,1162,881,1
317,A_10kB,10240,1.0056591033935547,10182.37687646395,1389,506,883,1
318,A_10kB,10240,1.0033495426177979,10205.815187081502,1195,555,640,1
319,A_10kB,10240,1.0035130977630615,10204.151817077485,1652,1239,413,1
320,A_10kB,10240,1.0066969394683838,10171.8795384513,1354,387,967,1
321,A_10kB,10240,1.002955675125122,10209.82307989087,2247,1025,1222,1
322,A_10kB,10240,1.0025954246520996,10213.491651982431,1656,1032,624,1
323,A_10kB,10240,1.0026371479034424,10213.066632741748,1593,616,977,1
324,A_10kB,10240,1.0026772022247314,10212.65864754836,1624,613,1011,1
325,A_10kB,10240,1.0026063919067383,10213.379929212058,1706,1054,652,1
326,A_10kB,10240,-0.07204723358154297,0,759,347,412,1
327,A_10kB,10240,2.0042026042938232,5109.2638928128945,1597,768,829,1
328,A_10kB,10240,1.0024163722991943,10215.315993406017,1555,1053,502,1
329,A_10kB,10240,1.0022666454315186,10216.842041661721,1186,620,566,1
330,A_10kB,10240,1.0024256706237793,10215.221237927752,1450,870,580,1
331,A_10kB,10240,1.0031590461730957,10207.753236203267,788,543,245,1
332,A_10kB,10240,1.0032219886779785,10207.112798129578,1015,858,157,1
333,A_10kB,10240,1.0023541450500488,10215.950171472283,1486,489,997,1
