Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
1,A_100kB,102400,1.505758285522461,68005.60288098945,102400,0,102400,1
2,A_100kB,102400,7.524222135543823,13609.380232977253,1432,848,584,1
3,A_100kB,102400,4.515936851501465,22675.250643939788,102400,0,102400,1
4,A_100kB,102400,5.10770845413208,20048.12939492651,102400,0,102400,1
5,A_100kB,102400,3.01595401763916,33952.77229065882,102400,0,102400,1
6,A_100kB,102400,3.0055084228515625,34070.774588894696,102400,0,102400,1
7,A_100kB,102400,3.0079634189605713,34042.96719651771,102755,355,102400,1
8,A_100kB,102400,3.0137009620666504,33978.15552667808,102400,0,102400,1
9,A_100kB,102400,3.008669137954712,34034.98201520801,1953,700,1253,1
10,A_100kB,102400,3.015979051589966,33952.490467736076,102908,508,102400,1
11,A_100kB,102400,3.010566473007202,34013.5323096568,102400,0,102400,1
12,A_100kB,102400,3.250509262084961,31502.755951022267,1538,614,924,1
13,A_100kB,102400,3.010794162750244,34010.960053961826,828,480,348,1
14,A_100kB,102400,3.0092434883117676,34028.48602904114,102400,0,102400,1
15,A_100kB,102400,3.0110416412353516,34008.164682168914,1541,415,1126,1
16,A_100kB,102400,3.0133566856384277,33982.03753576053,1329,986,343,1
17,A_100kB,102400,3.011420726776123,34003.88364518708,102400,0,102400,1
18,A_100kB,102400,3.0149471759796143,33964.110819529786,2127,878,1249,1
19,A_100kB,102400,3.0101840496063232,34017.85349749363,702,308,394,1
20,A_100kB,102400,2.6610238552093506,38481.42879273207,102400,0,102400,1
21,A_100kB,102400,3.0108556747436523,34010.26520765345,102400,0,102400,1
22,A_100kB,102400,3.0095221996307373,34025.33465696458,102400,0,102400,1
23,A_100kB,102400,3.0110487937927246,34008.08389790878,102400,0,102400,1
24,A_100kB,102400,3.0116634368896484,34001.14327042981,102400,0,102400,1
25,A_100kB,102400,3.01277756690979,33988.56959262074,102400,0,102400,1
26,A_100kB,102400,3.0078225135803223,34044.561983848405,102400,0,102400,1
27,A_100kB,102400,3.0170836448669434,33940.0600226037,102400,0,102400,1
28,A_100kB,102400,3.1399199962615967,32612.295893499806,1757,808,949,1
29,A_100kB,102400,3.01060152053833,34013.13634548677,801,448,353,1
30,A_100kB,102400,3.0121073722839355,33996.132057654715,102400,0,102400,1
31,A_100kB,102400,3.012692928314209,33989.52446749999,1577,1017,560,1
32,A_100kB,102400,3.0094339847564697,34026.33203409061,1069,620,449,1
33,A_100kB,102400,3.01359224319458,33979.38132846073,102400,0,102400,1
