Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
1,A_1MB,1048576,4.553609609603882,690820.7487452239,1048576,1048576,0,1,0.3333333333333333
2,A_1MB,1048576,5.01612663269043,627122.923791254,1356,999,357,1,0.000431060791015625
3,A_1MB,1048576,5.013694763183594,627427.106871286,1038,670,368,1,0.0003299713134765625
