File Size,Download Avg (kbps),Download StdDev,Upload Avg (kbps),Upload StdDev,Download Overhead,Upload Overhead
10kB,25759.21,0.00,20195.99,0.00,1.0242,1.0433
100kB,224879.16,0.00,186565.36,0.00,1.0024,1.0043
1MB,1058572.39,0.00,872446.31,0.00,1.0002,1.0004
10MB,1075458.33,0.00,897759.76,0.00,1.0000,1.0000
