Filename,Direction,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes (B)
B_10kB,upload,10240,0.004714250564575195,2172137.4075759873,10683
B_10kB,upload,10240,0.003900766372680664,2625125.173277917,10683
B_10kB,upload,10240,0.004080057144165039,2509768.7699409807,10683
B_10kB,upload,10240,0.0038204193115234375,2680334.0589116327,10683
B_10kB,upload,10240,0.0036191940307617188,2829359.2200263506,10683
B_10kB,upload,10240,0.004004478454589844,2557136.9945225054,10683
B_10kB,upload,10240,0.004147052764892578,2469223.4655628377,10683
B_10kB,upload,10240,0.0037441253662109375,2734951.1563932756,10683
B_10kB,upload,10240,0.005165576934814453,1982353.5936490353,10683
B_10kB,upload,10240,0.0038595199584960938,2653179.69854213,10683
B_10kB,upload,10240,0.0044209957122802734,2316220.2966078846,10683
B_10kB,upload,10240,0.004050016403198242,2528384.821333961,10683
B_10kB,upload,10240,0.0037317276000976562,2744037.3728596983,10683
B_10kB,upload,10240,0.00446629524230957,2292727.9645545296,10683
B_10kB,upload,10240,0.004298686981201172,2382122.7376594567,10683
B_10kB,upload,10240,0.003821134567260742,2679832.3429213203,10683
B_10kB,upload,10240,0.004448413848876953,2301944.096902133,10683
B_10kB,upload,10240,0.0040302276611328125,2540799.3942262186,10683
B_10kB,upload,10240,0.004218339920043945,2427495.2218391453,10683
B_10kB,upload,10240,0.004004240036010742,2557289.2503721346,10683
B_10kB,upload,10240,0.003756999969482422,2725578.941490037,10683
B_10kB,upload,10240,0.004004478454589844,2557136.9945225054,10683
B_10kB,upload,10240,0.004755496978759766,2153297.55138875,10683
B_10kB,upload,10240,0.003937721252441406,2600488.796318721,10683
B_10kB,upload,10240,0.004314899444580078,2373172.337274837,10683
B_10kB,upload,10240,0.004025459289550781,2543809.1068467186,10683
B_10kB,upload,10240,0.003255128860473633,3145804.801875046,10683
B_10kB,upload,10240,0.003844738006591797,2663380.43904254,10683
B_10kB,upload,10240,0.003901958465576172,2624323.167542466,10683
B_10kB,upload,10240,0.003966808319091797,2581420.4207236446,10683
B_10kB,upload,10240,0.00400090217590332,2559422.737619927,10683
B_10kB,upload,10240,0.004001140594482422,2559270.227624836,10683
B_10kB,upload,10240,0.004000663757324219,2559575.26579261,10683
B_10kB,upload,10240,0.004001140594482422,2559270.227624836,10683
B_10kB,upload,10240,0.003999471664428711,2560338.179433681,10683
B_10kB,upload,10240,0.00396728515625,2581110.153846154,10683
B_10kB,upload,10240,0.00400090217590332,2559422.737619927,10683
B_10kB,upload,10240,0.005000114440917969,2047953.1260728592,10683
B_10kB,upload,10240,0.003999471664428711,2560338.179433681,10683
B_10kB,upload,10240,0.006002187728881836,1706044.6061569017,10683
B_10kB,upload,10240,0.0040018558502197266,2558812.8066726243,10683
B_10kB,upload,10240,0.004967451095581055,2061419.3885289177,10683
B_10kB,upload,10240,0.006003856658935547,1705570.3661345406,10683
B_10kB,upload,10240,0.005003452301025391,2046586.9131802153,10683
B_10kB,upload,10240,0.0050008296966552734,2047660.2126340882,10683
B_10kB,upload,10240,0.008000612258911133,1279902.0460708644,10683
B_10kB,upload,10240,0.00400090217590332,2559422.737619927,10683
B_10kB,upload,10240,0.00400233268737793,2558507.9501995593,10683
B_10kB,upload,10240,0.0039997100830078125,2560185.5603242726,10683
B_10kB,upload,10240,0.004000663757324219,2559575.26579261,10683
B_10kB,upload,10240,0.003967761993408203,2580799.9615430837,10683
B_10kB,upload,10240,0.0039670467376708984,2581265.277961416,10683
B_10kB,upload,10240,0.004001140594482422,2559270.227624836,10683
B_10kB,upload,10240,0.004967212677001953,2061518.3334933282,10683
B_10kB,upload,10240,0.004001140594482422,2559270.227624836,10683
B_10kB,upload,10240,0.003966569900512695,2581575.5821362026,10683
B_10kB,upload,10240,0.004001140594482422,2559270.227624836,10683
B_10kB,upload,10240,0.004002094268798828,2558660.3693554155,10683
B_10kB,upload,10240,0.0040013790130615234,2559117.7358040875,10683
B_10kB,upload,10240,0.003992319107055664,2564925.2290235893,10683
B_10kB,upload,10240,0.004520416259765625,2265278.109704641,10683
B_10kB,upload,10240,0.0039997100830078125,2560185.5603242726,10683
B_10kB,upload,10240,0.004964113235473633,2062805.482925892,10683
B_10kB,upload,10240,0.0041751861572265625,2452585.2535404293,10683
B_10kB,upload,10240,0.004566669464111328,2242334.392816122,10683
B_10kB,upload,10240,0.0038988590240478516,2626409.402556106,10683
B_10kB,upload,10240,0.004055500030517578,2524966.076425632,10683
B_10kB,upload,10240,0.004004478454589844,2557136.9945225054,10683
B_10kB,upload,10240,0.003820180892944336,2680501.3393247207,10683
B_10kB,upload,10240,0.003862619400024414,2651050.7351398063,10683
B_10kB,upload,10240,0.003590822219848633,2851714.5581302703,10683
B_10kB,upload,10240,0.00440216064453125,2326130.4679376082,10683
B_10kB,upload,10240,0.004004716873168945,2556984.7568018096,10683
B_10kB,upload,10240,0.0040051937103271484,2556680.33573427,10683
B_10kB,upload,10240,0.003965854644775391,2582041.1783094867,10683
B_10kB,upload,10240,0.00496673583984375,2061716.251920123,10683
B_10kB,upload,10240,0.005000114440917969,2047953.1260728592,10683
B_10kB,upload,10240,0.004965782165527344,2062112.2028039177,10683
B_10kB,upload,10240,0.003965854644775391,2582041.1783094867,10683
B_10kB,upload,10240,0.004006147384643555,2556071.7110039876,10683
B_10kB,upload,10240,0.0041315555572509766,2478485.3690345665,10683
B_10kB,upload,10240,0.0038497447967529297,2659916.5764538306,10683
B_10kB,upload,10240,0.004167079925537109,2457356.274173246,10683
B_10kB,upload,10240,0.004368305206298828,2344158.5503765964,10683
B_10kB,upload,10240,0.004031658172607422,2539897.868716736,10683
B_10kB,upload,10240,0.00404047966003418,2534352.5674160616,10683
B_10kB,upload,10240,0.004203081130981445,2436307.95620852,10683
B_10kB,upload,10240,0.003926277160644531,2608068.554772893,10683
B_10kB,upload,10240,0.0040056705474853516,2556375.9871436222,10683
B_10kB,upload,10240,0.003498554229736328,2926923.331061742,10683
B_10kB,upload,10240,0.0038895606994628906,2632688.0568836583,10683
B_10kB,upload,10240,0.00400090217590332,2559422.737619927,10683
B_10kB,upload,10240,0.004221200942993164,2425849.9271392263,10683
B_10kB,upload,10240,0.0040743350982666016,2513293.5198080637,10683
B_10kB,upload,10240,0.004151582717895508,2466529.2000229713,10683
B_10kB,upload,10240,0.00400543212890625,2556528.1523809526,10683
B_10kB,upload,10240,0.004191160202026367,2443237.553899539,10683
B_10kB,upload,10240,0.004351377487182617,2353277.7908059834,10683
B_10kB,upload,10240,0.004279613494873047,2392739.440668524,10683
B_10kB,upload,10240,0.0037665367126464844,2718677.8680845676,10683
B_10kB,upload,10240,0.004347801208496094,2355213.476639614,10683
B_10kB,upload,10240,0.004004478454589844,2557136.9945225054,10683
B_10kB,upload,10240,0.004542350769042969,2254339.332353559,10683
B_10kB,upload,10240,0.004138469696044922,2474344.5650420557,10683
B_10kB,upload,10240,0.00419926643371582,2438521.146880145,10683
B_10kB,upload,10240,0.004004716873168945,2556984.7568018096,10683
B_10kB,upload,10240,0.00456547737121582,2242919.889289258,10683
B_10kB,upload,10240,0.0040051937103271484,2556680.33573427,10683
B_10kB,upload,10240,0.004088878631591797,2504354.1084548105,10683
B_10kB,upload,10240,0.004006862640380859,2555615.432583601,10683
B_10kB,upload,10240,0.004037380218505859,2536298.1551907407,10683
B_10kB,upload,10240,0.004266262054443359,2400227.615960657,10683
B_10kB,upload,10240,0.004434823989868164,2308998.0624697595,10683
B_10kB,upload,10240,0.0042057037353515625,2434788.716553288,10683
B_10kB,upload,10240,0.004193305969238281,2441987.3186263363,10683
B_10kB,upload,10240,0.004487276077270508,2282008.0208277986,10683
B_10kB,upload,10240,0.0039920806884765625,2565078.413760153,10683
B_10kB,upload,10240,0.0040323734283447266,2539447.3458286524,10683
B_10kB,upload,10240,0.004004955291748047,2556832.5372068104,10683
B_10kB,upload,10240,0.0037317276000976562,2744037.3728596983,10683
B_10kB,upload,10240,0.004000425338745117,2559727.812146135,10683
B_10kB,upload,10240,0.004225015640258789,2423659.667061678,10683
B_10kB,upload,10240,0.004017829895019531,2548639.5062900544,10683
B_10kB,upload,10240,0.004164457321166992,2458903.816339383,10683
B_10kB,upload,10240,0.004004240036010742,2557289.2503721346,10683
B_10kB,upload,10240,0.0035910606384277344,2851525.2263975567,10683
B_10kB,upload,10240,0.0040013790130615234,2559117.7358040875,10683
B_10kB,upload,10240,0.003899097442626953,2626248.8051852756,10683
B_10kB,upload,10240,0.0038852691650390625,2635596.033382425,10683
B_10kB,upload,10240,0.004050016403198242,2528384.821333961,10683
