Filename,Direction,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes (B)
B_100kB,upload,102400,0.004301786422729492,23804064.157845147,102845
B_100kB,upload,102400,0.003799915313720703,26947968.97979671,102845
B_100kB,upload,102400,0.004004955291748047,25568325.372068103,102845
B_100kB,upload,102400,0.004120349884033203,24852258.39601898,102845
B_100kB,upload,102400,0.0040056705474853516,25563759.871436223,102845
B_100kB,upload,102400,0.0045626163482666016,22443263.29100695,102845
B_100kB,upload,102400,0.0044956207275390625,22777722.189223588,102845
B_100kB,upload,102400,0.004761934280395508,21503866.70004506,102845
B_100kB,upload,102400,0.004004478454589844,25571369.945225053,102845
B_100kB,upload,102400,0.0038709640502929688,26453358.561221976,102845
B_100kB,upload,102400,0.004175424575805664,24524452.098441157,102845
B_100kB,upload,102400,0.004008769989013672,25543994.861425,102845
B_100kB,upload,102400,0.004160404205322266,24612993.100286532,102845
B_100kB,upload,102400,0.004221677780151367,24255759.28164003,102845
B_100kB,upload,102400,0.004157304763793945,24631343.098009977,102845
B_100kB,upload,102400,0.004186868667602539,24457418.68914071,102845
B_100kB,upload,102400,0.004006862640380859,25556154.32583601,102845
B_100kB,upload,102400,0.0041768550872802734,24516052.834065873,102845
B_100kB,upload,102400,0.003921985626220703,26109223.683890577,102845
B_100kB,upload,102400,0.005004167556762695,20462943.90394969,102845
B_100kB,upload,102400,0.004004240036010742,25572892.503721345,102845
B_100kB,upload,102400,0.004294395446777344,23845032.733733065,102845
B_100kB,upload,102400,0.004006147384643555,25560717.110039875,102845
B_100kB,upload,102400,0.004963397979736328,20631027.457008358,102845
B_100kB,upload,102400,0.00399327278137207,25643126.729954027,102845
B_100kB,upload,102400,0.004429817199707031,23116078.019375674,102845
B_100kB,upload,102400,0.004746675491333008,21572993.600884024,102845
B_100kB,upload,102400,0.004422426223754883,23154710.74451453,102845
B_100kB,upload,102400,0.004827022552490234,21213905.443050478,102845
B_100kB,upload,102400,0.00390625,26214400.0,102845
B_100kB,upload,102400,0.004004716873168945,25569847.568018097,102845
B_100kB,upload,102400,0.004023313522338867,25451658.05037037,102845
B_100kB,upload,102400,0.00400233268737793,25585079.501995593,102845
B_100kB,upload,102400,0.0040929317474365234,25018741.16619095,102845
B_100kB,upload,102400,0.004757881164550781,21522185.287632793,102845
B_100kB,upload,102400,0.0045473575592041016,22518572.30640172,102845
B_100kB,upload,102400,0.004904508590698242,20878748.21836566,102845
B_100kB,upload,102400,0.004973649978637695,20588501.49082019,102845
B_100kB,upload,102400,0.004000186920166016,25598803.766837526,102845
B_100kB,upload,102400,0.005043983459472656,20301414.709775005,102845
B_100kB,upload,102400,0.004860639572143555,21067186.42272036,102845
B_100kB,upload,102400,0.004530906677246094,22600333.066722795,102845
B_100kB,upload,102400,0.00400543212890625,25565281.523809522,102845
B_100kB,upload,102400,0.003992557525634766,25647720.62582109,102845
B_100kB,upload,102400,0.00400543212890625,25565281.523809522,102845
B_100kB,upload,102400,0.0047321319580078125,21639295.1229343,102845
B_100kB,upload,102400,0.004795551300048828,21353123.675052203,102845
B_100kB,upload,102400,0.004331111907958984,23642889.441814378,102845
B_100kB,upload,102400,0.004478931427001953,22862596.06089641,102845
B_100kB,upload,102400,0.00420379638671875,24358934.301270418,102845
B_100kB,upload,102400,0.004004240036010742,25572892.503721345,102845
B_100kB,upload,102400,0.0041217803955078125,24843633.132808886,102845
B_100kB,upload,102400,0.003934621810913086,26025372.938253652,102845
B_100kB,upload,102400,0.0041942596435546875,24414320.691223282,102845
B_100kB,upload,102400,0.0049626827239990234,20634000.941628635,102845
B_100kB,upload,102400,0.00400090217590332,25594227.37619927,102845
B_100kB,upload,102400,0.0050029754638671875,20467819.74837972,102845
B_100kB,upload,102400,0.00500035285949707,20478554.78949125,102845
B_100kB,upload,102400,0.00500178337097168,20472697.916964583,102845
B_100kB,upload,102400,0.0050013065338134766,20474649.835534155,102845
B_100kB,upload,102400,0.005000591278076172,20477578.411366455,102845
B_100kB,upload,102400,0.004999399185180664,20482461.233249083,102845
B_100kB,upload,102400,0.005000114440917969,20479531.26072859,102845
B_100kB,upload,102400,0.004999876022338867,20480507.825091794,102845
B_100kB,upload,102400,0.004999876022338867,20480507.825091794,102845
B_100kB,upload,102400,0.006000995635986328,17063835.10528407,102845
B_100kB,upload,102400,0.0050013065338134766,20474649.835534155,102845
B_100kB,upload,102400,0.007002353668212891,14623654.395641811,102845
B_100kB,upload,102400,0.004000425338745117,25597278.12146135,102845
B_100kB,upload,102400,0.00400090217590332,25594227.37619927,102845
B_100kB,upload,102400,0.005000591278076172,20477578.411366455,102845
B_100kB,upload,102400,0.004000425338745117,25597278.12146135,102845
B_100kB,upload,102400,0.00500035285949707,20478554.78949125,102845
B_100kB,upload,102400,0.004001140594482422,25592702.276248362,102845
B_100kB,upload,102400,0.004000425338745117,25597278.12146135,102845
B_100kB,upload,102400,0.004000663757324219,25595752.6579261,102845
B_100kB,upload,102400,0.004001140594482422,25592702.276248362,102845
B_100kB,upload,102400,0.004000663757324219,25595752.6579261,102845
B_100kB,upload,102400,0.004000186920166016,25598803.766837526,102845
B_100kB,upload,102400,0.0039997100830078125,25601855.60324273,102845
B_100kB,upload,102400,0.004731416702270508,21642566.36936256,102845
B_100kB,upload,102400,0.004831075668334961,21196107.664215565,102845
B_100kB,upload,102400,0.0046977996826171875,21797438.570848558,102845
B_100kB,upload,102400,0.004005908966064453,25562238.400190454,102845
B_100kB,upload,102400,0.004097700119018555,24989627.60225752,102845
B_100kB,upload,102400,0.0059261322021484375,17279398.51947216,102845
B_100kB,upload,102400,0.0059964656829833984,17076725.760407142,102845
B_100kB,upload,102400,0.004881143569946289,20978690.45083769,102845
B_100kB,upload,102400,0.0042095184326171875,24325822.927050296,102845
B_100kB,upload,102400,0.004304170608520508,23790878.502188,102845
B_100kB,upload,102400,0.00406336784362793,25200770.380801503,102845
B_100kB,upload,102400,0.004042387008666992,25331567.655558832,102845
B_100kB,upload,102400,0.004525899887084961,22625334.752146658,102845
B_100kB,upload,102400,0.004358768463134766,23492874.390110493,102845
B_100kB,upload,102400,0.004700899124145508,21783066.87629964,102845
B_100kB,upload,102400,0.004166364669799805,24577781.37911302,102845
B_100kB,upload,102400,0.004240751266479492,24146664.957553267,102845
B_100kB,upload,102400,0.004004478454589844,25571369.945225053,102845
B_100kB,upload,102400,0.004071950912475586,25147650.892909423,102845
B_100kB,upload,102400,0.004859447479248047,21072354.508880384,102845
