Filename,Direction,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes (B)
A_10kB,download,10240,0.14700651168823242,69656.77834541592,10488
A_10kB,download,10240,0.0025415420532226562,4029049.996247655,10488
A_10kB,download,10240,0.003173351287841797,3226872.498873028,10488
A_10kB,download,10240,0.004999637603759766,2048148.4482594181,10488
A_10kB,download,10240,0.005007028579711914,2045125.1349935718,10488
A_10kB,download,10240,0.003000020980834961,3413309.4619725025,10488
A_10kB,download,10240,0.0032110214233398438,3189016.4062964064,10488
A_10kB,download,10240,0.0033156871795654297,3088349.2457036027,10488
A_10kB,download,10240,0.0033135414123535156,3090349.18405526,10488
A_10kB,download,10240,0.004866361618041992,2104241.485473519,10488
A_10kB,download,10240,0.0031881332397460938,3211910.930302124,10488
A_10kB,download,10240,0.002948760986328125,3472644.9676584736,10488
A_10kB,download,10240,0.002998828887939453,3414666.3189696297,10488
A_10kB,download,10240,0.0033457279205322266,3060619.4655454997,10488
A_10kB,download,10240,0.002949953079223633,3471241.651984159,10488
A_10kB,download,10240,0.0028533935546875,3588709.304812834,10488
A_10kB,download,10240,0.0030379295349121094,3370716.760320201,10488
A_10kB,download,10240,0.0035550594329833984,2880401.915364496,10488
A_10kB,download,10240,0.003513813018798828,2914213.119826299,10488
A_10kB,download,10240,0.003241300582885742,3159225.66826039,10488
A_10kB,download,10240,0.003576993942260742,2862738.9828700926,10488
A_10kB,download,10240,0.00362396240234375,2825636.3789473684,10488
A_10kB,download,10240,0.0035483837127685547,2885820.933951488,10488
A_10kB,download,10240,0.003005504608154297,3407081.783277804,10488
A_10kB,download,10240,0.003312349319458008,3091461.380551357,10488
A_10kB,download,10240,0.0030477046966552734,3359905.574591254,10488
A_10kB,download,10240,0.0028738975524902344,3563105.4388584704,10488
A_10kB,download,10240,0.0028228759765625,3627506.1621621624,10488
A_10kB,download,10240,0.003690004348754883,2775064.4801964206,10488
A_10kB,download,10240,0.0038564205169677734,2655312.084080371,10488
A_10kB,download,10240,0.00396728515625,2581110.153846154,10488
A_10kB,download,10240,0.0029685497283935547,3449495.860573448,10488
A_10kB,download,10240,0.0029420852661132812,3480524.5510534844,10488
A_10kB,download,10240,0.0035104751586914062,2916984.036946482,10488
A_10kB,download,10240,0.0030050277709960938,3407622.418279911,10488
A_10kB,download,10240,0.0030059814453125,3406541.3197969543,10488
A_10kB,download,10240,0.003197908401489258,3202092.966525013,10488
A_10kB,download,10240,0.003538846969604492,2893597.8548810887,10488
A_10kB,download,10240,0.003511190414428711,2916389.8254905953,10488
A_10kB,download,10240,0.0033295154571533203,3075522.5893304693,10488
A_10kB,download,10240,0.0028264522552490234,3622916.3188528046,10488
A_10kB,download,10240,0.0036008358001708984,2843784.212408131,10488
A_10kB,download,10240,0.0028214454650878906,3629345.357444651,10488
A_10kB,download,10240,0.0033271312713623047,3077726.4750985308,10488
A_10kB,download,10240,0.0030059814453125,3406541.3197969543,10488
A_10kB,download,10240,0.0033521652221679688,3054742.0312944525,10488
A_10kB,download,10240,0.0030031204223632812,3409786.6751349634,10488
A_10kB,download,10240,0.0029404163360595703,3482500.0372983054,10488
A_10kB,download,10240,0.0031867027282714844,3213352.7577435286,10488
A_10kB,download,10240,0.0035927295684814453,2850200.6078704624,10488
A_10kB,download,10240,0.003004789352416992,3407892.800126954,10488
A_10kB,download,10240,0.0035507678985595703,2883883.2310481435,10488
A_10kB,download,10240,0.003523588180541992,2906128.490425604,10488
A_10kB,download,10240,0.002849102020263672,3594114.892050209,10488
A_10kB,download,10240,0.0032813549041748047,3120662.1347090025,10488
A_10kB,download,10240,0.002897024154663086,3534661.5883466383,10488
A_10kB,download,10240,0.002812623977661133,3640728.4021361363,10488
A_10kB,download,10240,0.004005908966064453,2556223.8400190454,10488
A_10kB,download,10240,0.002925872802734375,3499810.37809648,10488
A_10kB,download,10240,0.0030002593994140625,3413038.2199618565,10488
A_10kB,download,10240,0.003004789352416992,3407892.800126954,10488
A_10kB,download,10240,0.003330707550048828,3074421.829634932,10488
A_10kB,download,10240,0.003502368927001953,2923735.3955071475,10488
A_10kB,download,10240,0.0030052661895751953,3407352.079333598,10488
A_10kB,download,10240,0.003748178482055664,2731993.700146301,10488
A_10kB,download,10240,0.003373384475708008,3035527.1015619477,10488
A_10kB,download,10240,0.0032765865325927734,3125203.5916466564,10488
A_10kB,download,10240,0.003850221633911133,2659587.154622577,10488
A_10kB,download,10240,0.0030066967010498047,3405730.945999524,10488
A_10kB,download,10240,0.003559589385986328,2876736.300066979,10488
A_10kB,download,10240,0.0030074119567871094,3404920.957666085,10488
A_10kB,download,10240,0.003649473190307617,2805884.4293460506,10488
A_10kB,download,10240,0.0030045509338378906,3408163.224884939,10488
A_10kB,download,10240,0.003139972686767578,3261174.864085042,10488
A_10kB,download,10240,0.0032155513763427734,3184523.8348038853,10488
A_10kB,download,10240,0.0031616687774658203,3238795.939974361,10488
A_10kB,download,10240,0.003004312515258789,3408433.6925640823,10488
A_10kB,download,10240,0.003509521484375,2917776.695652174,10488
A_10kB,download,10240,0.0030374526977539062,3371245.9152276297,10488
A_10kB,download,10240,0.0028209686279296875,3629958.837052062,10488
A_10kB,download,10240,0.0032851696014404297,3117038.461426809,10488
A_10kB,download,10240,0.0032744407653808594,3127251.5625455077,10488
A_10kB,download,10240,0.0032286643981933594,3171590.0871363166,10488
A_10kB,download,10240,0.003329753875732422,3075302.3743376774,10488
A_10kB,download,10240,0.003539562225341797,2893013.13215681,10488
A_10kB,download,10240,0.003292560577392578,3110041.488776249,10488
A_10kB,download,10240,0.0032193660736083984,3180750.422868992,10488
A_10kB,download,10240,0.002930879592895508,3493831.6895794356,10488
A_10kB,download,10240,0.0035009384155273438,2924930.057205121,10488
A_10kB,download,10240,0.002929210662841797,3495822.314829888,10488
A_10kB,download,10240,0.004999876022338867,2048050.7825091793,10488
A_10kB,download,10240,0.0030050277709960938,3407622.418279911,10488
A_10kB,download,10240,0.003454446792602539,2964295.1866933536,10488
A_10kB,download,10240,0.003608226776123047,2837959.0960750626,10488
A_10kB,download,10240,0.002969503402709961,3448388.033721397,10488
A_10kB,download,10240,0.003000974655151367,3412224.752522444,10488
A_10kB,download,10240,0.003002643585205078,3410328.1689693504,10488
A_10kB,download,10240,0.003000020980834961,3413309.4619725025,10488
A_10kB,download,10240,0.004000663757324219,2559575.26579261,10488
A_10kB,download,10240,0.003000974655151367,3412224.752522444,10488
A_10kB,download,10240,0.004000186920166016,2559880.3766837525,10488
A_10kB,download,10240,0.003999948501586914,2560032.9594087144,10488
A_10kB,download,10240,0.0040018558502197266,2558812.8066726243,10488
A_10kB,download,10240,0.0039980411529541016,2561254.2763432525,10488
A_10kB,download,10240,0.004000186920166016,2559880.3766837525,10488
A_10kB,download,10240,0.004002094268798828,2558660.3693554155,10488
A_10kB,download,10240,0.004001617431640625,2558965.262154433,10488
A_10kB,download,10240,0.0039975643157958984,2561559.7876781775,10488
A_10kB,download,10240,0.004000425338745117,2559727.812146135,10488
A_10kB,download,10240,0.003002166748046875,3410869.834815756,10488
A_10kB,download,10240,0.003001689910888672,3411411.6727561555,10488
A_10kB,download,10240,0.0030019283294677734,3411140.7322690813,10488
A_10kB,download,10240,0.0030007362365722656,3412495.8652471,10488
A_10kB,download,10240,0.0030012130737304688,3411953.682872577,10488
A_10kB,download,10240,0.0030007362365722656,3412495.8652471,10488
A_10kB,download,10240,0.003000497817993164,3412767.0210568137,10488
